date,time,steps
2022-12-06,16:03,21
2022-12-06,16:11,15
2022-12-06,16:12,27
2022-12-06,16:16,35
2022-12-06,16:17,91
2022-12-06,16:19,69
2022-12-06,16:20,120
2022-12-06,16:22,60
2022-12-06,16:49,123
2022-12-06,16:50,26
2022-12-06,20:14,28
2022-12-06,20:15,5
2022-12-08,15:31,26
2022-12-08,15:37,15
2022-12-08,15:38,19
2022-12-08,15:40,35
2022-12-08,15:41,29
2022-12-08,15:44,21
2022-12-08,15:45,46
2022-12-08,15:47,23
2022-12-08,15:49,58
2022-12-08,15:50,66
2022-12-08,15:53,120
2022-12-08,15:54,12
2022-12-08,16:35,107
2022-12-08,16:36,72
2022-12-08,16:37,41
2022-12-11,21:09,37
2022-12-13,14:58,33
2022-12-13,15:10,62
2022-12-13,15:11,5
2022-12-13,15:15,20
2022-12-13,15:16,81
2022-12-13,15:17,41
2022-12-13,15:18,14
2022-12-13,15:21,106
2022-12-13,16:16,119
2022-12-13,16:17,81
2022-12-13,16:18,7
2022-12-14,12:48,25
2022-12-14,12:49,27
2022-12-14,12:50,24
2022-12-15,15:31,38
2022-12-15,15:33,39
2022-12-15,15:34,52
2022-12-15,15:36,26
2022-12-15,15:38,13
2022-12-15,15:40,72
2022-12-15,16:41,121
2022-12-15,17:18,29
2022-12-17,11:53,15
2022-12-17,11:54,49
2022-12-17,11:55,87
2022-12-17,11:56,50
2022-12-17,11:57,39
2022-12-17,11:59,12
2022-12-17,12:00,26
2022-12-17,12:02,10
2022-12-17,12:05,20
2022-12-17,12:14,17
2022-12-17,12:15,45
2022-12-17,12:16,93
2022-12-17,12:19,127
2022-12-17,12:37,116
2022-12-17,12:43,118
2022-12-17,12:58,121
2022-12-17,13:18,55
2022-12-17,13:21,106
2022-12-17,13:23,19
2022-12-17,13:24,10
2022-12-17,13:53,10
2022-12-17,13:54,21
2022-12-19,14:28,15
2022-12-19,14:34,10
2022-12-19,14:35,21
2022-12-19,14:36,16
2022-12-19,14:38,68
2022-12-19,14:39,83
2022-12-19,14:40,98
2022-12-19,14:43,56
2022-12-19,14:44,117
2022-12-19,15:19,114
2022-12-19,15:27,73
2022-12-19,15:31,121
2022-12-19,15:32,107
2022-12-19,15:33,102
2022-12-19,15:34,104
2022-12-19,15:35,107
2022-12-19,15:50,113
2022-12-19,16:12,76
2022-12-19,16:14,36
2022-12-19,16:19,99
2022-12-19,16:20,111
2022-12-19,16:21,67
2022-12-19,16:22,36
2022-12-19,20:02,26
2022-12-20,08:31,29
2022-12-20,08:51,45
2022-12-20,09:33,20
2022-12-20,09:39,15
2022-12-20,09:41,13
2022-12-20,09:42,13
2022-12-20,09:48,18
2022-12-20,09:49,15
2022-12-20,09:53,13
2022-12-20,09:54,12
2022-12-20,09:56,31
2022-12-20,09:57,75
2022-12-20,09:58,57
2022-12-20,09:59,64
2022-12-20,10:00,30
2022-12-20,10:04,13
2022-12-20,10:53,10
2022-12-20,11:15,36
2022-12-20,11:16,27
2022-12-20,11:19,12
2022-12-20,11:29,35
2022-12-20,11:30,43
2022-12-20,11:33,18
2022-12-20,11:34,29
2022-12-20,11:35,13
2022-12-20,11:37,54
2022-12-20,11:38,75
2022-12-20,11:39,44
2022-12-20,11:40,84
2022-12-20,11:41,65
2022-12-20,11:42,5
2022-12-20,11:45,33
2022-12-20,11:46,65
2022-12-20,11:47,47
2022-12-20,11:48,17
2022-12-20,11:53,10
2022-12-20,11:56,46
2022-12-20,11:57,41
2022-12-20,11:58,58
2022-12-20,11:59,14
2022-12-20,12:25,52
2023-01-28,15:57,10
2023-01-28,16:53,29
2023-01-28,16:54,13
2023-01-28,16:55,32
2023-01-28,16:57,56
2023-01-28,16:58,14
2023-01-28,16:59,53
2023-01-28,17:00,72
2023-01-28,17:01,15
2023-01-28,17:02,98
2023-01-28,17:05,111
2023-01-28,17:23,127
2023-01-28,17:42,124
2023-01-28,17:43,55
2023-01-28,17:44,58
2023-01-28,17:45,14
2023-01-28,17:46,17
2023-01-30,16:07,17
2023-01-30,16:08,48
2023-01-30,16:09,69
2023-01-30,16:10,93
2023-01-30,16:13,123
2023-01-30,17:19,65
2023-01-30,17:20,40
2023-02-01,13:59,21
2023-02-01,14:00,31
2023-02-01,14:01,50
2023-02-01,14:02,13
2023-02-01,14:03,19
2023-02-01,14:04,44
2023-02-01,14:05,69
2023-02-01,14:06,75
2023-02-01,14:08,41
2023-02-01,14:54,123
2023-02-01,15:16,41
2023-02-13,13:03,11
2023-02-13,13:04,21
2023-02-13,13:07,27
2023-02-13,13:08,24
2023-02-13,13:09,33
2023-02-13,13:10,26
2023-02-13,13:14,21
2023-02-13,13:17,31
2023-02-13,13:18,69
2023-02-13,13:19,43
2023-02-13,13:21,76
2023-02-13,13:23,127
2023-02-13,15:39,101
2023-02-13,15:40,30
2023-02-13,15:41,23
2023-02-13,15:42,48
2023-02-13,15:43,34
2023-02-14,08:16,10
2023-02-14,08:44,44
2023-02-14,08:45,55
2023-02-14,08:48,16
2023-02-14,08:50,34
2023-02-14,08:51,40
2023-02-14,08:52,19
