date,start,stop,distance,calories,steps
2022-12-06,16:10,16:22,450,19,559
2022-12-06,16:23,16:48,3649,238,3886
2022-12-08,15:37,15:50,220,7,312
2022-12-08,15:51,15:55,468,23,538
2022-12-08,15:56,16:34,5609,365,5899
2022-12-13,15:10,15:21,528,28,629
2022-12-13,15:22,16:15,7832,513,8203
2022-12-15,15:31,15:36,109,2,155
2022-12-15,15:41,16:40,8543,546,9025
2022-12-17,11:53,11:57,169,4,240
2022-12-17,12:14,12:19,493,26,581
2022-12-17,12:20,13:17,7989,499,8551
2022-12-17,13:18,13:23,564,30,628
2022-12-19,14:35,14:44,626,30,753
2022-12-19,14:45,15:26,5539,326,6066
2022-12-19,15:31,15:35,438,16,541
2022-12-19,15:36,16:11,4719,274,5181
2022-12-19,16:12,16:22,821,38,986
2022-12-20,09:39,09:54,68,4,99
2022-12-20,09:56,10:00,178,5,257
2022-12-20,11:37,11:41,223,6,322
2023-01-28,16:53,17:01,197,6,284
2023-01-28,17:06,17:41,4885,296,5328
2023-01-28,17:42,17:46,195,6,268
2023-01-30,16:07,16:13,515,23,641
2023-01-30,16:14,17:18,9138,574,9797
2023-02-01,13:59,14:08,252,8,363
2023-02-01,14:09,15:15,9516,601,10146
2023-02-13,13:04,13:23,496,21,648
2023-02-13,13:24,15:38,20368,1333,21081
2023-02-13,15:39,15:43,172,5,236
2023-02-14,08:48,08:52,75,2,109
