date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2022-12-04,0,0,0,2022-12-02 22:00:00+0000,2022-12-02 22:00:00+0000,0,
2022-12-05,0,0,0,2022-12-03 22:00:00+0000,2022-12-03 22:00:00+0000,0,
2022-12-06,0,0,0,2022-12-04 22:00:00+0000,2022-12-04 22:00:00+0000,0,
2022-12-07,0,0,0,2022-12-05 22:00:00+0000,2022-12-05 22:00:00+0000,0,
2022-12-08,0,0,0,2022-12-06 22:00:00+0000,2022-12-06 22:00:00+0000,0,
2022-12-09,0,0,0,2022-12-07 22:00:00+0000,2022-12-07 22:00:00+0000,0,
2022-12-10,0,0,0,2022-12-08 22:00:00+0000,2022-12-08 22:00:00+0000,0,
2022-12-11,0,0,0,2022-12-09 22:00:00+0000,2022-12-09 22:00:00+0000,0,
2022-12-12,0,0,0,2022-12-10 22:00:00+0000,2022-12-10 22:00:00+0000,0,
2022-12-13,0,0,0,2022-12-11 22:00:00+0000,2022-12-11 22:00:00+0000,0,
2022-12-14,0,0,0,2022-12-12 22:00:00+0000,2022-12-12 22:00:00+0000,0,
2022-12-15,0,0,0,2022-12-13 22:00:00+0000,2022-12-13 22:00:00+0000,0,
2022-12-16,0,0,0,2022-12-14 22:00:00+0000,2022-12-14 22:00:00+0000,0,
2022-12-17,0,0,0,2022-12-15 22:00:00+0000,2022-12-15 22:00:00+0000,0,
2022-12-18,0,0,0,2022-12-16 22:00:00+0000,2022-12-16 22:00:00+0000,0,
2022-12-19,0,0,0,2022-12-17 22:00:00+0000,2022-12-17 22:00:00+0000,0,
2022-12-20,0,0,0,2022-12-18 22:00:00+0000,2022-12-18 22:00:00+0000,0,
2022-12-21,0,0,0,2022-12-19 22:00:00+0000,2022-12-19 22:00:00+0000,0,
2022-12-22,0,0,0,2022-12-20 22:00:00+0000,2022-12-20 22:00:00+0000,0,
2022-12-23,0,0,0,2022-12-21 22:00:00+0000,2022-12-21 22:00:00+0000,0,
2022-12-24,0,0,0,2022-12-22 22:00:00+0000,2022-12-22 22:00:00+0000,0,
2022-12-25,0,0,0,2022-12-23 22:00:00+0000,2022-12-23 22:00:00+0000,0,
2022-12-26,0,0,0,2022-12-24 22:00:00+0000,2022-12-24 22:00:00+0000,0,
2022-12-27,0,0,0,2022-12-25 22:00:00+0000,2022-12-25 22:00:00+0000,0,
2022-12-28,0,0,0,2022-12-26 22:00:00+0000,2022-12-26 22:00:00+0000,0,
2022-12-29,0,0,0,2022-12-27 22:00:00+0000,2022-12-27 22:00:00+0000,0,
2022-12-30,0,0,0,2022-12-28 22:00:00+0000,2022-12-28 22:00:00+0000,0,
2022-12-31,0,0,0,2022-12-29 22:00:00+0000,2022-12-29 22:00:00+0000,0,
2023-01-01,0,0,0,2022-12-30 22:00:00+0000,2022-12-30 22:00:00+0000,0,
2023-01-25,0,0,0,2023-01-23 22:00:00+0000,2023-01-23 22:00:00+0000,0,
2023-01-26,0,0,0,2023-01-24 22:00:00+0000,2023-01-24 22:00:00+0000,0,
2023-01-27,0,0,0,2023-01-25 22:00:00+0000,2023-01-25 22:00:00+0000,0,
2023-01-28,0,0,0,2023-01-26 22:00:00+0000,2023-01-26 22:00:00+0000,0,
2023-01-29,0,0,0,2023-01-27 22:00:00+0000,2023-01-27 22:00:00+0000,0,
2023-01-30,0,0,0,2023-01-28 22:00:00+0000,2023-01-28 22:00:00+0000,0,
2023-01-31,0,0,0,2023-01-29 22:00:00+0000,2023-01-29 22:00:00+0000,0,
2023-02-01,0,0,0,2023-01-30 22:00:00+0000,2023-01-30 22:00:00+0000,0,
2023-02-02,0,0,0,2023-01-31 22:00:00+0000,2023-01-31 22:00:00+0000,0,
2023-02-03,0,0,0,2023-02-01 22:00:00+0000,2023-02-01 22:00:00+0000,0,
2023-02-04,0,0,0,2023-02-02 22:00:00+0000,2023-02-02 22:00:00+0000,0,
2023-02-05,0,0,0,2023-02-03 22:00:00+0000,2023-02-03 22:00:00+0000,0,
2023-02-06,0,0,0,2023-02-04 22:00:00+0000,2023-02-04 22:00:00+0000,0,
2023-02-07,0,0,0,2023-02-05 22:00:00+0000,2023-02-05 22:00:00+0000,0,
2023-02-08,0,0,0,2023-02-06 22:00:00+0000,2023-02-06 22:00:00+0000,0,
2023-02-09,0,0,0,2023-02-07 22:00:00+0000,2023-02-07 22:00:00+0000,0,
2023-02-10,0,0,0,2023-02-08 22:00:00+0000,2023-02-08 22:00:00+0000,0,
2023-02-11,0,0,0,2023-02-09 22:00:00+0000,2023-02-09 22:00:00+0000,0,
2023-02-12,0,0,0,2023-02-10 22:00:00+0000,2023-02-10 22:00:00+0000,0,
2023-02-13,0,0,0,2023-02-11 22:00:00+0000,2023-02-11 22:00:00+0000,0,
2023-02-14,0,0,0,2023-02-12 22:00:00+0000,2023-02-12 22:00:00+0000,0,
2023-02-15,0,0,0,2023-02-13 22:00:00+0000,2023-02-13 22:00:00+0000,0,
2023-02-16,0,0,0,2023-02-14 22:00:00+0000,2023-02-14 22:00:00+0000,0,
2023-02-17,0,0,0,2023-02-15 22:00:00+0000,2023-02-15 22:00:00+0000,0,
